GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
koi-kapers,com.mycompany.app,Game,290,513,7,17,45,96,8,11,1,6
koi-kapers,com.mycompany.app,Player,118,470,10,41,9,80,9,25,0,8
koi-kapers,com.mycompany.app,Raccoon,138,360,37,30,39,59,27,15,0,5
koi-kapers,com.mycompany.app,Board,6,588,3,31,2,90,3,20,0,6
koi-kapers,com.mycompany.app,KeyHandler,135,107,56,24,57,44,39,16,1,3
koi-kapers,com.mycompany.app,Cell,0,9,0,0,0,3,0,1,0,1
koi-kapers,com.mycompany.app,Entity,23,170,2,10,5,29,2,9,0,3
koi-kapers,com.mycompany.app,Main,3,30,0,0,1,10,1,1,1,1
koi-kapers,com.mycompany.app,Node,0,9,0,0,0,4,0,1,0,1
koi-kapers,com.mycompany.app,PopUp,11,186,2,4,1,39,2,9,0,8
koi-kapers,com.mycompany.app,CollisionHandler,125,458,57,42,22,62,39,18,1,5
koi-kapers,com.mycompany.app,PathFinder,1,487,6,42,1,95,6,26,0,8
